USER_GENDER,MARITAL,PRICE,NO_ITEMS,PUR_VALUE,USER_INCOME,PURCHASE
1,M,25000,0,0,39171,0
1,U,20000,2,21866,249,1
0,U,30000,1,16090,1249,0
0,U,15000,0,0,7247,1
1,U,28000,2,26888,33314,1
0,M,14000,1,2800,0,0
1,M,20000,1,4035,27436,1
1,U,23000,1,15125,31514,0
0,U,14000,2,16415,8745,1
0,M,30000,2,5281,0,1
0,M,14000,0,0,0,0
1,M,9000,0,0,40087,0
0,U,32000,0,0,17116,0
0,U,14000,1,6371,0,1
0,U,15000,1,19751,5850,1
0,M,16000,0,0,0,0
0,M,32000,1,4043,0,1
1,U,32000,1,12368,1254,0
0,U,14000,1,10101,1968,1
1,U,10000,2,12545,38461,1
1,U,23000,1,9461,479,0
1,U,12000,0,0,25280,0
1,U,14000,0,0,280,1
1,U,30000,1,11896,25871,0
0,U,19000,0,0,0,0
1,U,13000,2,8028,431,1
1,U,15000,2,13067,32615,1
0,M,20000,0,0,0,0
0,M,16000,0,0,15054,0
1,M,15000,1,16248,39640,1
1,U,10000,1,5478,4230,0
1,U,16000,2,5642,44644,1
0,U,23000,1,14645,0,0
0,U,12000,1,14382,0,0
0,U,11000,0,0,1234,0
1,U,30000,1,12896,39252,0
0,U,11000,1,15206,7973,0
0,U,12000,1,6545,0,0
0,U,19000,0,0,7670,1
0,U,28000,0,0,6151,0
0,U,18000,1,14134,8897,0
0,M,14000,0,0,0,0
0,U,32000,1,4595,0,0
0,U,30000,0,0,7602,1
1,M,16000,0,0,2742,0
0,U,14000,2,19815,5903,1
1,M,19000,0,0,25042,0
1,U,14000,1,10979,707,0
1,U,10000,0,0,294,0
0,U,16000,1,12711,8110,0
1,U,15000,0,0,586,0
0,U,11000,0,0,0,1
0,U,23000,1,19493,8302,0
0,M,11000,0,0,0,0
0,M,31000,1,3476,0,0
1,M,9000,1,18391,31676,1
1,U,10000,1,15171,11920,0
1,U,11000,0,0,107,0
1,U,31000,1,16045,19487,1
1,M,16000,0,0,16282,0
0,U,23000,0,0,1115,0
1,U,16000,0,0,477,0
1,U,18000,0,0,37444,0
1,M,15000,0,0,18710,1
0,U,24000,1,7904,7738,0
0,U,10000,1,17359,8672,0
0,U,15000,1,12725,12536,0
1,U,31000,0,0,36388,1
1,U,18000,0,0,3065,0
0,M,14000,1,8695,8735,0
1,M,11000,0,0,2450,1
0,U,16000,1,7485,713,1
1,M,32000,0,0,2637,0
